ds,yhat,yhat_lower,yhat_upper
2024-05-02 00:00:00,597294.418706025,545998.0497333315,652443.5118013562
2024-05-03 00:00:00,362498.9900573273,306911.97922101826,421389.5593160978
2024-05-04 00:00:00,134783.5897523954,79458.69850604935,190597.40640560884
2024-05-05 00:00:00,-82248.13049749588,-140540.64246379444,-23462.209031157377
2024-05-06 00:00:00,-285203.21535979793,-343284.93254717864,-224253.58308487057
2024-05-07 00:00:00,-470968.9369173179,-530821.5372337837,-415763.3230707267
2024-05-08 00:00:00,-636775.8373012907,-692367.6399738895,-583274.9486983751
2024-05-09 00:00:00,-780252.8235421455,-838333.5401925924,-727860.5300200699
2024-05-10 00:00:00,-899473.0535056812,-956765.8103580751,-843062.3894130535
2024-05-11 00:00:00,-992989.581338158,-1052350.4760303707,-936655.7556583696
2024-05-12 00:00:00,-1059859.9857263134,-1119540.6470555912,-1006069.9517370447
2024-05-13 00:00:00,-1099659.4778345104,-1160492.5165315547,-1042401.3153716344
2024-05-14 00:00:00,-1112482.2708875935,-1170297.4734520898,-1050524.7214674207
2024-05-15 00:00:00,-1098931.282626648,-1153933.974174391,-1038403.0186302352
2024-05-16 00:00:00,-1060096.5277639104,-1119918.551932642,-1005650.3039653192
2024-05-17 00:00:00,-997522.8327262658,-1052761.2317082044,-946595.5325195797
2024-05-18 00:00:00,-913167.7623212469,-972852.5182180405,-855411.5566721299
2024-05-19 00:00:00,-809350.8809176163,-867444.0516619666,-752712.5014880291
2024-05-20 00:00:00,-688695.6733900709,-747254.8479533906,-630354.516314259
2024-05-21 00:00:00,-554065.618372303,-613126.3266994013,-497065.63225434936
2024-05-22 00:00:00,-408496.03417774884,-464911.1319792362,-351407.8320660831
2024-05-23 00:00:00,-255123.40303338226,-311705.85741889104,-200151.84820149915
2024-05-24 00:00:00,-97113.92015416618,-153038.1612355623,-39668.360881949084
2024-05-25 00:00:00,62406.99006779934,8986.110454107617,114600.61446802662
2024-05-26 00:00:00,220422.49736862967,159728.65742365766,279245.0832001605
2024-05-27 00:00:00,374087.9268292842,318340.4783195017,432515.15772274527
2024-05-28 00:00:00,520788.5883880257,469111.4761248598,581834.0636908857
2024-05-29 00:00:00,658190.5732562123,600668.4504797296,711272.8787213842
2024-05-30 00:00:00,784283.4155434294,722873.7124186042,839055.9608147831
2024-05-31 00:00:00,897413.7429804391,837225.0023725296,953831.9121783759
2024-06-01 00:00:00,996309.2858356351,940191.320033783,1054826.5462493177
2024-06-02 00:00:00,1080092.8712562923,1021210.6318554973,1141882.6326945613
2024-06-03 00:00:00,1148286.2943232046,1088888.059911756,1207299.7790241477
2024-06-04 00:00:00,1200804.2199988714,1144098.218826561,1258061.8256935668
2024-06-05 00:00:00,1237938.5249001733,1184854.985495947,1297083.385644246
2024-06-06 00:00:00,1260333.7277350866,1203927.416385289,1318199.8452713378
2024-06-07 00:00:00,1268954.3760772482,1210905.309046965,1326972.257704933
2024-06-08 00:00:00,1265045.4493524735,1207328.051084145,1324401.801459409
2024-06-09 00:00:00,1250086.9986557295,1192058.2425671276,1305744.6220872272
2024-06-10 00:00:00,1225744.3694203962,1167039.6031400762,1282910.0052046077
2024-06-11 00:00:00,1193815.4401511112,1132383.1351172556,1250754.6698546566
2024-06-12 00:00:00,1156176.3575796788,1094532.7450250073,1210560.2536342044
2024-06-13 00:00:00,1114727.2550418396,1059200.2262537691,1170899.55130757
2024-06-14 00:00:00,1071339.4070132824,1009611.5666506664,1132520.2682781925
2024-06-15 00:00:00,1027805.2001295115,974228.4830938751,1087728.226303686
2024-06-16 00:00:00,985792.1922257188,926180.6914308795,1045224.6363552727
2024-06-17 00:00:00,946802.3895001775,890476.4430711522,1003639.5448441628
2024-06-18 00:00:00,912137.7022451173,857182.5900028724,968957.1175545888
2024-06-19 00:00:00,882872.3468010963,825688.5825336287,938826.9195987951
2024-06-20 00:00:00,859832.751187072,799566.0984250444,920000.8076294695
2024-06-21 00:00:00,843585.3003383304,785653.5972724741,900502.4424063094
2024-06-22 00:00:00,834432.030369126,775738.4746581196,893353.5429179923
2024-06-23 00:00:00,832414.1561818636,772387.791214305,894534.7730031577
2024-06-24 00:00:00,837323.0993079172,777665.5252868747,890828.7766290843
2024-06-25 00:00:00,848718.4790621591,787730.9017030185,901927.5213665282
2024-06-26 00:00:00,865952.3454156725,812226.2879813564,921964.733599762
2024-06-27 00:00:00,888198.7713375548,829379.5152503686,948714.4368059044
2024-06-28 00:00:00,914487.78982509,854032.3916364411,969127.8858058141
2024-06-29 00:00:00,943742.5597809635,884748.1208805818,1003668.9270112488
2024-06-30 00:00:00,974818.5775881369,920731.6000180519,1033011.6318283164
2024-07-01 00:00:00,1006543.7190998386,952304.7579119467,1065720.4782799527
2024-07-02 00:00:00,1037757.9000853741,978034.5621932992,1095347.1932901656
2024-07-03 00:00:00,1067351.1813429773,1010049.6179669861,1120717.9665862983
2024-07-04 00:00:00,1094299.2159822267,1036627.3224384902,1153717.2715702162
2024-07-05 00:00:00,1117695.0382741159,1058584.4169200188,1174878.8995414115
2024-07-06 00:00:00,1136776.3224926712,1080622.141087573,1195332.6549280458
2024-07-07 00:00:00,1150947.3922118084,1090992.8184479973,1209556.7052433528
2024-07-08 00:00:00,1159795.430788557,1105111.8772735263,1217307.0717814604
2024-07-09 00:00:00,1163100.5270698825,1105135.6441777828,1217115.9322588958
2024-07-10 00:00:00,1160839.3811571198,1100364.5013434782,1217737.8060245782
2024-07-11 00:00:00,1153182.687704599,1096381.2853393492,1211926.9615010323
2024-07-12 00:00:00,1140486.4030753812,1086339.564244506,1196130.627182443
2024-07-13 00:00:00,1123277.2822545387,1068869.2866720918,1180838.4078171034
2024-07-14 00:00:00,1102233.2366535459,1042335.2418805473,1157256.1503265193
2024-07-15 00:00:00,1078159.210151653,1018980.7818067245,1133818.7770965996
2024-07-16 00:00:00,1051959.3939596256,995508.360659677,1109154.6518739401
2024-07-17 00:00:00,1024606.6977908912,962961.9368371253,1080801.9270393506
2024-07-18 00:00:00,997110.4629966031,939471.9624400414,1052712.9998193132
2024-07-19 00:00:00,970483.4410740162,910565.4497691499,1026853.604758795
