Date,Insect Repellent,Carrots,Cheese,Dustpan,Hair Gel,Toothbrush,Toothpaste,Pasta,Milk,Water,BBQ Sauce,Chicken,Orange,Trash Cans,Deodorant,Honey,Soap,Extension Cords,Potatoes,Mustard,Bath Towels,Paper Towels,Syrup,Tuna,Cereal,Onions,Rice,Banana,Air Freshener,Mop,Tissues,Mayonnaise,Chips,Tea,Eggs,Laundry Detergent,Yogurt,Spinach,Shampoo,Salmon,Razors,Pancake Mix,Olive Oil,Ironing Board,Hand Sanitizer,Dish Soap,Bread,Cleaning Spray,Sponges,Toilet Paper,Iron,Lawn Mower,Shaving Cream,Cleaning Rags,Garden Hose,Shrimp,Power Strips,Pickles,Tomatoes,Vinegar,Dishware,Ketchup,Broom,Peanut Butter,Trash Bags,Ice Cream,Beef,Shower Gel,Cereal Bars,Feminine Hygiene Products,Diapers,Canned Soup,Jam,Butter,Apple,Baby Wipes,Light Bulbs,Soda,Plant Fertilizer,Coffee,Vacuum Cleaner
2020-01-01,26,24,25,25,26,20,51,27,30,16,25,25,21,25,20,26,31,24,19,21,24,27,15,21,27,15,24,24,21,25,30,21,22,18,22,21,23,20,25,28,16,24,25,26,24,33,18,23,20,26,18,22,24,15,28,23,15,20,28,18,28,20,20,12,19,21,19,22,28,18,29,18,23,19,26,21,24,29,10,17,21
2020-01-02,28,25,27,25,30,25,37,25,22,31,21,27,21,15,25,26,15,18,17,27,19,16,14,18,23,25,21,20,23,26,22,27,25,18,30,21,32,27,24,30,19,28,22,33,23,27,23,23,24,27,12,33,13,14,18,16,16,22,21,18,14,23,26,18,23,22,27,26,23,25,31,39,21,20,28,21,27,19,20,18,16
2020-01-03,30,18,23,17,22,21,46,21,27,24,18,26,32,30,34,23,28,20,24,26,29,33,29,20,32,30,27,33,25,23,25,26,29,29,24,23,28,15,29,21,31,20,26,30,28,26,18,30,26,27,23,19,11,24,16,19,28,26,18,27,24,29,14,29,23,23,31,18,36,25,25,25,19,24,23,22,26,21,19,27,28
2020-01-04,20,30,25,28,18,23,36,19,25,27,10,25,24,19,24,22,21,25,25,27,20,24,23,30,19,20,35,21,25,20,14,27,29,29,22,21,21,25,20,22,15,31,19,23,30,24,25,19,14,22,23,27,24,24,14,24,20,24,23,12,24,26,23,30,18,23,19,19,25,26,18,23,31,26,19,25,23,20,31,25,20
2020-01-05,26,20,22,25,25,18,40,21,17,25,15,25,23,15,17,18,18,21,25,19,18,24,20,24,26,22,17,12,19,24,21,28,20,20,24,22,24,30,16,23,26,23,23,26,34,35,15,17,32,17,15,25,26,14,22,20,25,19,18,32,30,26,22,17,20,22,25,22,23,18,22,31,28,17,25,11,26,25,15,17,20
2020-01-06,23,21,24,26,23,20,44,23,27,21,36,17,28,19,23,16,35,26,22,18,21,34,28,17,29,31,26,22,21,21,22,32,22,26,19,22,37,23,26,17,26,21,28,27,20,28,20,26,23,25,21,18,25,16,25,11,25,18,23,22,27,21,23,27,28,19,21,21,23,19,21,32,35,20,23,28,25,18,28,25,25
2020-01-07,21,23,36,21,24,22,46,26,19,25,25,17,14,18,25,34,22,23,23,28,26,28,23,20,19,22,27,28,15,29,25,24,21,26,25,29,27,20,24,26,17,26,30,30,24,19,24,26,24,24,29,29,22,32,26,22,17,22,23,27,24,26,27,17,28,22,30,19,23,16,20,30,25,15,24,25,19,23,23,21,20
2020-01-08,24,14,23,20,21,21,50,16,19,26,22,21,18,14,25,29,30,22,16,31,23,21,20,22,22,15,16,27,24,24,24,31,27,21,23,19,21,15,32,23,21,32,25,19,24,12,16,22,24,17,16,27,25,22,25,30,19,16,32,21,17,20,26,21,27,27,28,24,26,15,22,24,22,17,17,28,20,27,21,22,22
2020-01-09,19,22,26,21,27,21,30,16,23,23,13,14,25,28,25,24,20,19,29,27,15,10,22,21,25,19,27,26,26,25,14,17,23,21,21,32,20,24,33,29,26,25,17,29,27,24,24,17,26,22,26,25,25,18,16,32,14,30,18,17,17,22,20,22,22,20,21,28,26,16,18,22,22,23,24,21,23,18,32,23,16
2020-01-10,22,21,16,26,18,19,28,27,26,19,21,25,14,18,17,21,19,27,18,23,15,20,14,19,14,23,24,22,22,27,23,22,28,29,29,20,17,17,35,22,21,19,23,21,21,20,29,26,20,23,24,12,24,31,19,19,18,31,19,26,16,28,18,16,21,21,20,33,18,23,22,26,19,17,17,29,25,26,24,26,19
2020-01-11,17,28,22,22,22,21,43,20,24,25,19,18,34,25,22,26,25,22,21,21,25,24,31,24,31,26,27,26,24,24,26,22,22,29,24,24,24,25,21,22,35,23,20,21,36,18,20,28,20,21,25,20,19,19,23,30,22,24,19,22,34,28,25,16,21,20,19,29,31,21,28,28,22,32,19,30,31,25,20,24,25
2020-01-12,28,27,24,22,16,28,47,36,24,21,18,23,27,24,22,21,27,23,12,26,16,23,22,17,24,15,24,23,23,19,23,32,20,18,20,20,18,16,35,21,13,31,16,21,22,29,34,26,28,20,24,22,22,19,14,27,26,19,21,27,20,20,27,16,22,26,28,17,23,30,19,17,19,20,20,26,24,28,28,31,14
2020-01-13,28,25,21,32,22,28,55,20,24,23,24,17,16,20,19,23,29,37,21,23,27,29,24,17,23,26,20,19,19,27,23,22,32,17,18,20,30,26,25,17,19,25,20,19,24,25,18,22,20,29,28,23,18,20,19,20,22,23,23,26,10,17,25,22,15,35,22,23,21,21,23,23,25,21,19,30,17,18,14,21,16
2020-01-14,22,23,25,18,27,31,53,21,35,20,22,15,26,22,19,28,26,29,19,24,33,21,24,27,17,23,25,30,19,29,21,22,24,22,24,25,31,25,30,31,24,21,27,32,20,26,24,18,21,24,21,33,23,25,23,20,26,19,17,17,21,18,24,40,27,20,30,25,16,16,27,25,19,27,22,20,29,16,21,22,28
2020-01-15,20,28,14,23,22,25,45,31,27,31,22,25,30,17,28,21,25,34,22,21,24,23,24,37,16,24,23,23,19,27,23,24,26,28,25,19,35,20,22,29,27,14,13,18,26,31,30,27,22,17,27,27,25,21,21,29,29,22,26,29,26,31,23,31,24,25,27,27,24,23,18,26,28,31,24,26,18,30,26,20,27
